"w_O","w_O2","w_O3","u","v","p","T","X_O","X_O2","X_O3","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.9512e-08,0.80001,0.19999,0.30828,-2.2244e-12,0.17058,300.22,-2.1324e-07,0.85715,0.14285,0,1,0.004,0.004,0.0025,0
-1.1949e-07,0.80002,0.19998,0.30993,-2.3343e-12,0.16981,300.38,-2.5605e-07,0.85716,0.14284,0,1,0.0041,0.0041,0.0025,0
-1.4265e-07,0.80004,0.19996,0.31188,-2.3963e-12,0.169,300.69,-3.0566e-07,0.85718,0.14282,0,1,0.0042,0.0042,0.0025,0
-1.7013e-07,0.80009,0.19991,0.31421,-2.3855e-12,0.16817,301.28,-3.6455e-07,0.85721,0.14279,0,1,0.0043,0.0043,0.0025,0
-2.0208e-07,0.80017,0.19983,0.31706,-2.2584e-12,0.16731,302.36,-4.3301e-07,0.85727,0.14273,0,1,0.0044,0.0044,0.0025,0
-2.3766e-07,0.8003,0.1997,0.32062,-1.9529e-12,0.16637,304.25,-5.0921e-07,0.85737,0.14263,0,1,0.0045,0.0045,0.0025,0
-2.3978e-07,0.80063,0.19938,0.32621,-1.3575e-12,0.16503,308.98,-5.137e-07,0.85762,0.14238,0,1,0.0046,0.0046,0.0025,0
-1.8163e-07,0.80189,0.19814,0.33881,-3.974e-13,0.16552,321.76,-3.8895e-07,0.85857,0.14143,0,1,0.0047,0.0047,0.0025,0
-6.2992e-08,0.80659,0.19351,0.37272,1.782e-12,0.16452,356.93,-1.3469e-07,0.86211,0.13789,0,1,0.0048,0.0048,0.0025,0
6.2266e-08,0.82373,0.17668,0.45284,7.9115e-12,0.1561,443.14,1.3176e-07,0.87488,0.12512,0,1,0.0049,0.0049,0.0025,0
9.81e-06,0.86777,0.13339,0.59166,1.6581e-11,0.12873,598.59,2.0508e-05,0.90703,0.092952,0,1,0.005,0.005,0.0025,0
0.00067045,0.94484,0.056168,0.74535,2.0568e-11,0.057502,782.97,0.0013576,0.96044,0.0382,0,1,0.0051,0.0051,0.0025,0
0.0014251,0.98905,0.010404,0.80172,1.758e-11,-0.003521,868.69,0.0028536,0.9902,0.0069461,0,1,0.0052,0.0052,0.0025,0
0.0012761,0.99706,0.0019238,0.7933,1.3495e-11,-0.020024,886.95,0.00255,0.99617,0.0012815,0,1,0.0053,0.0053,0.0025,0
0.00097104,0.99842,0.00072732,0.77792,1.0415e-11,-0.018794,893.26,0.0019404,0.99758,0.00048447,0,1,0.0054,0.0054,0.0025,0
0.00073796,0.99888,0.00047627,0.7645,8.1722e-12,-0.014574,896.49,0.0014749,0.99821,0.0003173,0,1,0.0055,0.0055,0.0025,0
0.00058461,0.99913,0.00037327,0.75414,6.585e-12,-0.010437,898.1,0.0011686,0.99858,0.00024871,0,1,0.0056,0.0056,0.0025,0
0.00047894,0.9993,0.00030779,0.74628,5.4529e-12,-0.0071845,898.86,0.00095744,0.99884,0.0002051,0,1,0.0057,0.0057,0.0025,0
0.00039693,0.99943,0.00025794,0.73994,4.5527e-12,-0.0044802,899.18,0.00079354,0.99903,0.00017189,0,1,0.0058,0.0058,0.0025,0
0.00033486,0.99952,0.00022056,0.73505,3.8536e-12,-0.002235,899.15,0.00066948,0.99918,0.00014699,0,1,0.0059,0.0059,0.0025,0
0.00028681,0.99959,0.00019175,0.73136,3.3056e-12,-0.00039646,898.86,0.00057345,0.9993,0.00012779,0,1,0.006,0.006,0.0025,0
0.0002509,0.99964,0.00017028,0.72887,2.8966e-12,0.0010046,898.35,0.00050168,0.99938,0.00011349,0,1,0.0061,0.0061,0.0025,0
0.00022119,0.99969,0.00015254,0.72707,2.5602e-12,0.0021437,897.71,0.00044227,0.99946,0.00010167,0,1,0.0062,0.0062,0.0025,0
0.00019645,0.99972,0.0001378,0.72583,2.2831e-12,0.0030564,896.98,0.00039282,0.99952,9.1845e-05,0,1,0.0063,0.0063,0.0025,0
0.00017568,0.99975,0.00012544,0.72506,2.0538e-12,0.0037746,896.16,0.0003513,0.99957,8.3612e-05,0,1,0.0064,0.0064,0.0025,0
0.00015809,0.99977,0.000115,0.72466,1.8626e-12,0.0043267,895.26,0.00031613,0.99961,7.6652e-05,0,1,0.0065,0.0065,0.0025,0
0.00014367,0.99979,0.00010645,0.72463,1.7078e-12,0.0047022,894.28,0.0002873,0.99964,7.0959e-05,0,1,0.0066,0.0066,0.0025,0
0.00013106,0.99981,9.9004e-05,0.72478,1.5746e-12,0.0049723,893.25,0.00026208,0.99967,6.5994e-05,0,1,0.0067,0.0067,0.0025,0
0.00011999,0.99982,9.2485e-05,0.72507,1.4588e-12,0.0051515,892.16,0.00023996,0.9997,6.1649e-05,0,1,0.0068,0.0068,0.0025,0
0.00011024,0.99983,8.6758e-05,0.72548,1.3571e-12,0.0052529,891.03,0.00022046,0.99972,5.7832e-05,0,1,0.0069,0.0069,0.0025,0
0.0001016,0.99984,8.1706e-05,0.72596,1.2672e-12,0.0052882,889.85,0.00020319,0.99974,5.4465e-05,0,1,0.007,0.007,0.0025,0
9.4165e-05,0.99985,7.7378e-05,0.72648,1.189e-12,0.0052543,888.61,0.00018831,0.99976,5.1581e-05,0,1,0.0071,0.0071,0.0025,0
8.7456e-05,0.99986,7.3495e-05,0.727,1.1187e-12,0.0051798,887.33,0.0001749,0.99978,4.8993e-05,0,1,0.0072,0.0072,0.0025,0
8.1391e-05,0.99987,7.0004e-05,0.72752,1.0541e-12,0.0050708,886.02,0.00016277,0.99979,4.6666e-05,0,1,0.0073,0.0073,0.0025,0
7.5895e-05,0.99987,6.686e-05,0.728,9.9426e-13,0.0049327,884.66,0.00015178,0.9998,4.4571e-05,0,1,0.0074,0.0074,0.0025,0
7.09e-05,0.99988,6.4023e-05,0.72845,9.3918e-13,0.0047706,883.27,0.00014179,0.99982,4.2679e-05,0,1,0.0075,0.0075,0.0025,0
6.6467e-05,0.99988,6.1531e-05,0.72883,8.8963e-13,0.0045838,881.82,0.00013293,0.99983,4.1018e-05,0,1,0.0076,0.0076,0.0025,0
6.2392e-05,0.99989,5.926e-05,0.72915,8.4262e-13,0.0043831,880.34,0.00012478,0.99984,3.9504e-05,0,1,0.0077,0.0077,0.0025,0
5.8639e-05,0.99989,5.7188e-05,0.72941,7.9817e-13,0.0041707,878.83,0.00011727,0.99984,3.8124e-05,0,1,0.0078,0.0078,0.0025,0
5.5178e-05,0.99989,5.5298e-05,0.7296,7.5638e-13,0.0039486,877.28,0.00011035,0.99985,3.6864e-05,0,1,0.0079,0.0079,0.0025,0
5.1981e-05,0.9999,5.3573e-05,0.72972,7.175e-13,0.0037186,875.7,0.00010396,0.99986,3.5714e-05,0,1,0.008,0.008,0.0025,0
4.9089e-05,0.9999,5.2038e-05,0.72975,6.8059e-13,0.0034804,874.07,9.8174e-05,0.99987,3.4691e-05,0,1,0.0081,0.0081,0.0025,0
